venta_id,fecha,cliente_id,producto_id,producto,categoria,sede,cantidad,precio_unitario,costo_unitario,ingreso,margen
V0147,2026-08-26,C040,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0148,2026-08-23,C048,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0149,2026-08-23,C004,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0150,2026-08-21,C014,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0151,2026-08-05,C013,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0152,2026-08-27,C013,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0153,2026-08-09,C036,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0154,2026-08-27,C020,GAL,Galleta de avena,Snack,Norte,2,1500,700,3000,1600
V0155,2026-08-18,C013,TEA,Té de hierbas,Bebida caliente,Centro,2,1500,600,3000,1800
V0156,2026-08-04,C007,CAF,Café con leche 9 oz,Bebida caliente,Norte,1,2000,800,2000,1200
V0157,2026-08-18,C019,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0158,2026-08-12,C047,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0159,2026-08-26,C056,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0160,2026-08-14,C038,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0161,2026-08-11,C024,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0162,2026-08-25,C013,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0163,2026-08-14,C040,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0164,2026-08-12,C020,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0165,2026-08-03,C016,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0167,2026-08-10,C041,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0168,2026-08-12,C054,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0169,2026-08-06,C046,JUG,Jugo de naranja natural,Bebida fría,Centro,2,2500,1200,5000,2600
V0171,2026-08-28,C004,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0172,2026-08-12,C035,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0173,2026-08-20,C036,AGU,Agua sin gas 420 ml,Bebida fría,Norte,2,1000,400,2000,1200
V0174,2026-08-28,C028,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0175,2026-08-24,C016,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0176,2026-08-01,C028,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0177,2026-08-06,C031,EMP,Empanada de carne,Snack,Centro,1,2000,900,2000,1100
V0178,2026-08-22,C029,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0179,2026-08-14,C045,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0180,2026-08-28,C003,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0181,2026-08-27,C004,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0182,2026-08-04,C028,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0183,2026-07-31,C043,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0184,2026-08-08,C015,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0185,2026-08-21,C005,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0186,2026-08-20,C015,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0187,2026-08-09,C010,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0188,2026-08-05,C056,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0189,2026-08-14,C009,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0190,2026-08-22,C021,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0191,2026-08-13,C034,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0192,2026-08-02,C039,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0193,2026-08-01,C059,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0194,2026-08-10,C028,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0195,2026-08-11,C017,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0196,2026-08-26,C033,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0197,2026-08-22,C002,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0198,2026-08-18,C008,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0199,2026-08-10,C028,TIN,Tinto campesino,Bebida caliente,Centro,2,1500,500,3000,2000
V0200,2026-08-27,C024,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0201,2026-08-09,C025,CAF,Café con leche 9 oz,Bebida caliente,Norte,1,2000,800,2000,1200
V0202,2026-08-06,C023,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0203,2026-08-03,C050,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0204,2026-07-31,C006,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0205,2026-08-17,C019,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0206,2026-08-07,C031,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0207,2026-08-12,C004,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0208,2026-08-20,C012,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0209,2026-08-27,C058,AGU,Agua sin gas 420 ml,Bebida fría,Norte,2,1000,400,2000,1200
V0210,2026-08-05,C007,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0211,2026-08-16,C001,EMP,Empanada de carne,Snack,Centro,1,2000,900,2000,1100
V0212,2026-08-14,C007,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0213,2026-08-25,C010,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0214,2026-08-10,C022,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0215,2026-08-19,C031,BRO,Brownie de chocolate,Snack,Norte,1,2500,1100,2500,1400
V0216,2026-08-12,C004,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0217,2026-08-18,C045,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0218,2026-08-09,C059,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0219,2026-08-28,C012,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0220,2026-08-13,C006,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0221,2026-08-16,C058,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0222,2026-08-04,C040,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0223,2026-08-09,C021,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0224,2026-08-09,C059,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0225,2026-08-15,C004,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0226,2026-08-12,C021,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0227,2026-08-13,C052,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0228,2026-08-12,C006,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0229,2026-08-08,C032,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0230,2026-08-09,C041,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0231,2026-08-11,C050,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0232,2026-08-02,C037,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0233,2026-08-21,C058,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0234,2026-08-29,C030,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0235,2026-08-09,C059,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0236,2026-08-15,C011,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0237,2026-08-03,C023,AGU,Agua sin gas 420 ml,Bebida fría,Centro,2,1000,400,2000,1200
V0238,2026-08-16,C034,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0239,2026-08-25,C035,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0240,2026-08-27,C034,TIN,Tinto campesino,Bebida caliente,Centro,2,1500,500,3000,2000
V0241,2026-08-16,C035,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0242,2026-08-07,C052,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0243,2026-08-04,C043,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0244,2026-08-04,C026,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0245,2026-08-23,C056,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0246,2026-08-19,C010,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0247,2026-08-06,C057,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0248,2026-08-22,C009,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0249,2026-08-03,C014,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0250,2026-08-04,C034,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0251,2026-08-04,C001,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0252,2026-08-14,C053,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0253,2026-08-04,C024,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0254,2026-08-16,C013,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0255,2026-08-11,C001,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0256,2026-08-06,C046,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0257,2026-08-08,C024,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0258,2026-08-24,C052,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0259,2026-08-14,C041,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0260,2026-08-21,C002,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0261,2026-08-26,C025,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0262,2026-07-31,C023,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0263,2026-07-31,C039,TEA,Té de hierbas,Bebida caliente,Norte,2,1500,600,3000,1800
V0264,2026-08-10,C028,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0265,2026-08-12,C002,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0266,2026-08-27,C020,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0267,2026-08-12,C011,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0268,2026-08-20,C032,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0269,2026-08-04,C046,CAF,Café con leche 9 oz,Bebida caliente,Centro,1,2000,800,2000,1200
V0270,2026-08-10,C048,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0271,2026-08-29,C024,JUG,Jugo de naranja natural,Bebida fría,Centro,1,2500,1200,2500,1300
V0272,2026-08-16,C040,AGU,Agua sin gas 420 ml,Bebida fría,Centro,2,1000,400,2000,1200
V0273,2026-08-18,C041,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0274,2026-08-28,C055,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0275,2026-08-21,C006,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0276,2026-08-23,C050,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0277,2026-08-05,C011,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
